Cell_ID,Strain,Phenotype
2482690,TSA150,multilobed
2482691,TSA150,multilobed
2482695,TSA150,multilobed
2482696,TSA150,multilobed
2482697,TSA150,multilobed
2482698,TSA150,multilobed
2482703,TSA150,multilobed
2482710,TSA150,multilobed
2482711,TSA150,multilobed
2482712,TSA150,multilobed
2482715,TSA150,multilobed
2482716,TSA150,multilobed
2482717,TSA150,multilobed
2482719,TSA150,enlarged
2482721,TSA150,multilobed
2486686,DMA3865,negative
2493894,DMA1,negative
2494307,DMA1,negative
2495460,DMA520,multilobed
2495462,DMA520,multilobed
2495467,DMA520,multilobed
2495468,DMA520,multilobed
2495476,DMA520,multilobed
2495481,DMA520,multilobed
2495492,DMA520,multilobed
2495493,DMA520,multilobed
2495497,DMA520,multilobed
2495504,DMA520,multilobed
2495506,DMA520,multilobed
2495513,DMA520,multilobed
2495519,DMA520,multilobed
2495524,DMA520,multilobed
2495527,DMA520,multilobed
2495532,DMA520,multilobed
2495543,DMA520,multilobed
2495552,DMA520,multilobed
2495558,DMA520,multilobed
2495563,DMA520,multilobed
2495564,DMA520,multilobed
2495566,DMA520,multilobed
2495598,DMA520,multilobed
2495599,DMA520,multilobed
2495613,DMA520,multilobed
2495619,DMA520,multilobed
2495625,DMA520,multilobed
2495630,DMA520,multilobed
2495632,DMA520,multilobed
2495645,DMA520,multilobed
2495649,DMA520,multilobed
2495651,DMA520,multilobed
2495652,DMA520,multilobed
2495653,DMA520,multilobed
2495673,DMA520,multilobed
2495677,DMA520,multilobed
2495685,DMA520,multilobed
2495686,DMA520,multilobed
2495705,DMA520,multilobed
2495707,DMA520,multilobed
2495710,DMA520,multilobed
2495714,DMA520,multilobed
2495717,DMA520,multilobed
2495776,DMA520,multilobed
2495777,DMA520,multilobed
2495778,DMA520,multilobed
2495799,DMA520,multilobed
2495817,DMA520,multilobed
2495826,DMA520,multilobed
2495832,DMA520,multilobed
2495835,DMA520,multilobed
2495839,DMA520,multilobed
2495846,DMA520,multilobed
2495849,DMA520,multilobed
2495855,DMA520,multilobed
2495865,DMA520,multilobed
2495869,DMA520,multilobed
2500678,DMA3865,negative
2506237,DMA1,negative
2528663,DMA1,negative
2528799,DMA1,negative
2529819,DMA1,negative
2529977,DMA1,enlarged
2530996,DMA1,negative
2531498,DMA1,negative
2533899,DMA1,negative
2534801,DMA-SLOW236,class E
2534803,DMA-SLOW236,multilobed
2534838,DMA-SLOW236,class E
2534842,DMA-SLOW236,class E
2536191,DMA-SLOW395,class E
2536197,DMA-SLOW395,class E
2536201,DMA-SLOW395,class E
2536205,DMA-SLOW395,class E
2536216,DMA-SLOW395,class E
2536219,DMA-SLOW395,class E
2536222,DMA-SLOW395,class E
2536233,DMA-SLOW395,class E
2536237,DMA-SLOW395,class E
2536245,DMA-SLOW395,class E
2536248,DMA-SLOW395,class E
2536257,DMA-SLOW395,class E
2536271,DMA-SLOW395,class E
2536272,DMA-SLOW395,class E
2536282,DMA-SLOW395,class E
2536284,DMA-SLOW395,class E
2538531,DMA1,negative
2538710,DMA1,negative
2539108,DMA1,negative
2539376,DMA1,negative
2539383,DMA1,negative
2540178,DMA1,negative
2540912,DMA1,negative
2542471,DMA3865,negative
2542474,DMA3865,negative
2546977,DMA1,negative
2547069,DMA1,negative
2548380,DMA1,negative
2549237,DMA1,negative
2551485,DMA1,negative
2552114,DMA1,negative
2552811,DMA1,negative
2553212,DMA1,negative
2553319,DMA1,negative
2553380,DMA1,negative
2553804,DMA1,negative
2553898,DMA1,negative
2562442,DMA1,multilobed
2563034,DMA1,negative
2563183,DMA1,negative
2563369,DMA1,negative
2563822,DMA1,negative
2563863,DMA1,negative
2564807,DMA1,negative
2564990,DMA1,negative
2565010,DMA1,negative
2567626,DMA1,negative
2569445,DMA1,negative
2571148,DMA294,highly fragmented
2571156,DMA294,highly fragmented
2571157,DMA294,highly fragmented
2571162,DMA294,highly fragmented
2571163,DMA294,highly fragmented
2571167,DMA294,highly fragmented
2571172,DMA294,highly fragmented
2571174,DMA294,highly fragmented
2571176,DMA294,highly fragmented
2571177,DMA294,highly fragmented
2571178,DMA294,highly fragmented
2571180,DMA294,highly fragmented
2571181,DMA294,highly fragmented
2571183,DMA294,highly fragmented
2571187,DMA294,highly fragmented
2571188,DMA294,highly fragmented
2571189,DMA294,highly fragmented
2571190,DMA294,highly fragmented
2571204,DMA294,highly fragmented
2571208,DMA294,highly fragmented
2571214,DMA294,highly fragmented
2571222,DMA294,highly fragmented
2571227,DMA294,highly fragmented
2571229,DMA294,highly fragmented
2571232,DMA294,highly fragmented
2571237,DMA294,highly fragmented
2571241,DMA294,highly fragmented
2571249,DMA294,highly fragmented
2571251,DMA294,highly fragmented
2571253,DMA294,highly fragmented
2571262,DMA294,highly fragmented
2571263,DMA294,highly fragmented
2571264,DMA294,highly fragmented
2571265,DMA294,highly fragmented
2571269,DMA294,highly fragmented
2571271,DMA294,highly fragmented
2571272,DMA294,highly fragmented
2571275,DMA294,highly fragmented
2571289,DMA294,highly fragmented
2571290,DMA294,highly fragmented
2571292,DMA294,highly fragmented
2571298,DMA294,highly fragmented
2571300,DMA294,highly fragmented
2571302,DMA294,highly fragmented
2571303,DMA294,highly fragmented
2571307,DMA294,highly fragmented
2571309,DMA294,highly fragmented
2571314,DMA294,highly fragmented
2571316,DMA294,highly fragmented
2571317,DMA294,highly fragmented
2571318,DMA294,highly fragmented
2571320,DMA294,highly fragmented
2571322,DMA294,highly fragmented
2571324,DMA294,highly fragmented
2571325,DMA294,highly fragmented
2571326,DMA294,highly fragmented
2571328,DMA294,highly fragmented
2571331,DMA294,highly fragmented
2571334,DMA294,highly fragmented
2571346,DMA294,highly fragmented
2571352,DMA294,highly fragmented
2571353,DMA294,highly fragmented
2571355,DMA294,highly fragmented
2571357,DMA294,highly fragmented
2571358,DMA294,highly fragmented
2575326,DMA1,negative
2575371,DMA1,negative
2575873,DMA-SLOW296,V-ATPase complex assembly defect
2575874,DMA-SLOW296,V-ATPase complex assembly defect
2575875,DMA-SLOW296,V-ATPase complex assembly defect
2575876,DMA-SLOW296,V-ATPase complex assembly defect
2575877,DMA-SLOW296,V-ATPase complex assembly defect
2575878,DMA-SLOW296,V-ATPase complex assembly defect
2575879,DMA-SLOW296,V-ATPase complex assembly defect
2575880,DMA-SLOW296,V-ATPase complex assembly defect
2575881,DMA-SLOW296,V-ATPase complex assembly defect
2575882,DMA-SLOW296,V-ATPase complex assembly defect
2575884,DMA-SLOW296,V-ATPase complex assembly defect
2575885,DMA-SLOW296,V-ATPase complex assembly defect
2575886,DMA-SLOW296,V-ATPase complex assembly defect
2575887,DMA-SLOW296,V-ATPase complex assembly defect
2575888,DMA-SLOW296,V-ATPase complex assembly defect
2575889,DMA-SLOW296,V-ATPase complex assembly defect
2575892,DMA-SLOW296,V-ATPase complex assembly defect
2575893,DMA-SLOW296,V-ATPase complex assembly defect
2575894,DMA-SLOW296,V-ATPase complex assembly defect
2575895,DMA-SLOW296,V-ATPase complex assembly defect
2575896,DMA-SLOW296,V-ATPase complex assembly defect
2575899,DMA-SLOW296,V-ATPase complex assembly defect
2575900,DMA-SLOW296,V-ATPase complex assembly defect
2575901,DMA-SLOW296,V-ATPase complex assembly defect
2575902,DMA-SLOW296,V-ATPase complex assembly defect
2575903,DMA-SLOW296,V-ATPase complex assembly defect
2575904,DMA-SLOW296,V-ATPase complex assembly defect
2575905,DMA-SLOW296,V-ATPase complex assembly defect
2575906,DMA-SLOW296,V-ATPase complex assembly defect
2575907,DMA-SLOW296,V-ATPase complex assembly defect
2575908,DMA-SLOW296,V-ATPase complex assembly defect
2575909,DMA-SLOW296,V-ATPase complex assembly defect
2575910,DMA-SLOW296,V-ATPase complex assembly defect
2575911,DMA-SLOW296,V-ATPase complex assembly defect
2575912,DMA-SLOW296,V-ATPase complex assembly defect
2575913,DMA-SLOW296,V-ATPase complex assembly defect
2575914,DMA-SLOW296,V-ATPase complex assembly defect
2575916,DMA-SLOW296,V-ATPase complex assembly defect
2575917,DMA-SLOW296,V-ATPase complex assembly defect
2575918,DMA-SLOW296,V-ATPase complex assembly defect
2575920,DMA-SLOW296,V-ATPase complex assembly defect
2575921,DMA-SLOW296,V-ATPase complex assembly defect
2575922,DMA-SLOW296,V-ATPase complex assembly defect
2575923,DMA-SLOW296,V-ATPase complex assembly defect
2575924,DMA-SLOW296,V-ATPase complex assembly defect
2575925,DMA-SLOW296,V-ATPase complex assembly defect
2575926,DMA-SLOW296,V-ATPase complex assembly defect
2575927,DMA-SLOW296,V-ATPase complex assembly defect
2575928,DMA-SLOW296,V-ATPase complex assembly defect
2575929,DMA-SLOW296,V-ATPase complex assembly defect
2575930,DMA-SLOW296,V-ATPase complex assembly defect
2575931,DMA-SLOW296,V-ATPase complex assembly defect
2575932,DMA-SLOW296,V-ATPase complex assembly defect
2575934,DMA-SLOW296,V-ATPase complex assembly defect
2575935,DMA-SLOW296,V-ATPase complex assembly defect
2575936,DMA-SLOW296,V-ATPase complex assembly defect
2575937,DMA-SLOW296,V-ATPase complex assembly defect
2575938,DMA-SLOW296,V-ATPase complex assembly defect
2575939,DMA-SLOW296,V-ATPase complex assembly defect
2575940,DMA-SLOW296,V-ATPase complex assembly defect
2575941,DMA-SLOW296,V-ATPase complex assembly defect
2575942,DMA-SLOW296,V-ATPase complex assembly defect
2575943,DMA-SLOW296,V-ATPase complex assembly defect
2575944,DMA-SLOW296,V-ATPase complex assembly defect
2575946,DMA-SLOW296,V-ATPase complex assembly defect
2575947,DMA-SLOW296,V-ATPase complex assembly defect
2575948,DMA-SLOW296,V-ATPase complex assembly defect
2575949,DMA-SLOW296,V-ATPase complex assembly defect
2575952,DMA-SLOW296,V-ATPase complex assembly defect
2575953,DMA-SLOW296,V-ATPase complex assembly defect
2575954,DMA-SLOW296,V-ATPase complex assembly defect
2575955,DMA-SLOW296,V-ATPase complex assembly defect
2575956,DMA-SLOW296,V-ATPase complex assembly defect
2575957,DMA-SLOW296,V-ATPase complex assembly defect
2575958,DMA-SLOW296,V-ATPase complex assembly defect
2575959,DMA-SLOW296,V-ATPase complex assembly defect
2575960,DMA-SLOW296,V-ATPase complex assembly defect
2575961,DMA-SLOW296,V-ATPase complex assembly defect
2575962,DMA-SLOW296,V-ATPase complex assembly defect
2575963,DMA-SLOW296,V-ATPase complex assembly defect
2575965,DMA-SLOW296,V-ATPase complex assembly defect
2577664,DMA1,negative
2583374,DMA1,negative
2583572,DMA1,negative
2583643,DMA1,negative
2589481,DMA1,negative
2589690,DMA1,negative
2590012,DMA1,negative
2590892,DMA1,negative
2591662,DMA1,negative
2591831,DMA1,negative
2592403,DMA1,negative
2592521,DMA1,negative
2594870,DMA1,negative
2599240,DMA1,negative
2605895,DMA1,negative
2619860,DMA1,negative
2620031,DMA1,negative
2632900,DMA1,negative
2632922,DMA1,negative
2633524,DMA1,negative
2634531,DMA1,negative
2634816,DMA1,negative
2635460,DMA1,negative
2635522,DMA1,negative
2635646,DMA1,negative
2637996,DMA3715,V-ATPase complex assembly defect
2637997,DMA3715,V-ATPase complex assembly defect
2637998,DMA3715,V-ATPase complex assembly defect
2637999,DMA3715,V-ATPase complex assembly defect
2638000,DMA3715,V-ATPase complex assembly defect
2638004,DMA3715,V-ATPase complex assembly defect
2638005,DMA3715,V-ATPase complex assembly defect
2638007,DMA3715,V-ATPase complex assembly defect
2638008,DMA3715,V-ATPase complex assembly defect
2638009,DMA3715,V-ATPase complex assembly defect
2638013,DMA3715,V-ATPase complex assembly defect
2638014,DMA3715,V-ATPase complex assembly defect
2638018,DMA3715,V-ATPase complex assembly defect
2638021,DMA3715,V-ATPase complex assembly defect
2638022,DMA3715,V-ATPase complex assembly defect
2638023,DMA3715,V-ATPase complex assembly defect
2638026,DMA3715,V-ATPase complex assembly defect
2638027,DMA3715,V-ATPase complex assembly defect
2638028,DMA3715,V-ATPase complex assembly defect
2638034,DMA3715,V-ATPase complex assembly defect
2638036,DMA3715,V-ATPase complex assembly defect
2638037,DMA3715,V-ATPase complex assembly defect
2638039,DMA3715,V-ATPase complex assembly defect
2638042,DMA3715,V-ATPase complex assembly defect
2638044,DMA3715,V-ATPase complex assembly defect
2638046,DMA3715,V-ATPase complex assembly defect
2638048,DMA3715,V-ATPase complex assembly defect
2638051,DMA3715,V-ATPase complex assembly defect
2638052,DMA3715,V-ATPase complex assembly defect
2638053,DMA3715,V-ATPase complex assembly defect
2638054,DMA3715,V-ATPase complex assembly defect
2638056,DMA3715,V-ATPase complex assembly defect
2638057,DMA3715,V-ATPase complex assembly defect
