ORF,Name,Allele,Strain,Plate,Row,Column
YOR202W,HIS3,,DMA1,1,1,1
YOR202W,HIS3,,DMA1,1,1,2
YOR202W,HIS3,,DMA1,1,1,3
YOR202W,HIS3,,DMA1,1,1,4
YOR202W,HIS3,,DMA1,1,1,5
YOR202W,HIS3,,DMA1,1,1,6
YOR202W,HIS3,,DMA1,1,1,7
YOR202W,HIS3,,DMA1,1,1,8
YOR202W,HIS3,,DMA1,1,1,9
YOR202W,HIS3,,DMA1,1,1,10
YOR202W,HIS3,,DMA1,1,1,11
YOR202W,HIS3,,DMA1,1,1,12
YOR202W,HIS3,,DMA1,1,1,13
YOR202W,HIS3,,DMA1,1,1,14
YOR202W,HIS3,,DMA1,1,1,15
YOR202W,HIS3,,DMA1,1,1,16
YOR202W,HIS3,,DMA1,1,1,17
YOR202W,HIS3,,DMA1,1,1,18
YOR202W,HIS3,,DMA1,1,1,19
YOR202W,HIS3,,DMA1,1,1,20
YOR202W,HIS3,,DMA1,1,1,21
YOR202W,HIS3,,DMA1,1,1,22
YOR202W,HIS3,,DMA1,1,1,23
YOR202W,HIS3,,DMA1,1,1,24
YOR202W,HIS3,,DMA1,1,2,1
YBR030W,RKM3,,DMA193,1,2,2
YBR138C,,,DMA290,1,2,3
YBR028C,YPK3,,DMA194,1,2,4
YBR137W,,,DMA291,1,2,5
YBR027C,,,DMA195,1,2,6
YBR134W,,,DMA292,1,2,7
YBR026C,ETR1,,DMA196,1,2,8
YBR132C,AGP2,,DMA293,1,2,9
YBR025C,OLA1,,DMA197,1,2,10
YBR131W,CCZ1,,DMA294,1,2,11
YBR024W,SCO2,,DMA198,1,2,12
YBR130C,SHE3,,DMA295,1,2,13
YBR023C,CHS3,,DMA199,1,2,14
YBR129C,OPY1,,DMA296,1,2,15
YBR022W,POA1,,DMA200,1,2,16
YBR128C,ATG14,,DMA297,1,2,17
YBR020W,GAL1,,DMA201,1,2,18
YBR126C,TPS1,,DMA298,1,2,19
YBR019C,GAL10,,DMA202,1,2,20
YBR125C,PTC4,,DMA299,1,2,21
YBR018C,GAL7,,DMA203,1,2,22
YBR122C,MRPL36,,DMA300,1,2,23
YOR202W,HIS3,,DMA1,1,2,24
YOR202W,HIS3,,DMA1,1,3,1
YAL017W,PSK1,,DMA13,1,3,2
YBL032W,HEK2,,DMA110,1,3,3
YAL015C,NTG1,,DMA14,1,3,4
YBL031W,SHE1,,DMA111,1,3,5
YAL014C,SYN8,,DMA15,1,3,6
YBL029W,,,DMA112,1,3,7
YAL013W,DEP1,,DMA16,1,3,8
YBL028C,,,DMA113,1,3,9
YAL011W,SWC3,,DMA17,1,3,10
YBL027W,RPL19B,,DMA114,1,3,11
YAL010C,MDM10,,DMA18,1,3,12
YBL025W,RRN10,,DMA115,1,3,13
YAL008W,FUN14,,DMA19,1,3,14
YBL024W,NCL1,,DMA116,1,3,15
YAL007C,ERP2,,DMA20,1,3,16
YBL021C,HAP3,,DMA117,1,3,17
YAL005C,SSA1,,DMA21,1,3,18
YBL019W,APN2,,DMA118,1,3,19
YAL004W,,,DMA22,1,3,20
YBL017C,PEP1,,DMA119,1,3,21
YAL002W,VPS8,,DMA23,1,3,22
YBL016W,FUS3,,DMA120,1,3,23
YOR202W,HIS3,,DMA1,1,3,24
YOR202W,HIS3,,DMA1,1,4,1
YBR045C,GIP1,,DMA205,1,4,2
YBR156C,SLI15,,DMA302,1,4,3
YBR044C,TCM62,,DMA206,1,4,4
YBR151W,APD1,,DMA303,1,4,5
YBR043C,QDR3,,DMA207,1,4,6
YBR150C,TBS1,,DMA304,1,4,7
YBR042C,CST26,,DMA208,1,4,8
YBR149W,ARA1,,DMA305,1,4,9
